"RelativePath","Extension","Length","LastWriteTimeUtc"
"datan\common\AcpUnique01.GX",".gx","5286","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique01.tga",".tga","12016","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique01.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique02.GX",".gx","4201","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique02.tga",".tga","5942","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique02.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique03.GX",".gx","8397","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique03.tga",".tga","9696","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique03.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique04.GX",".gx","8151","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique04.tga",".tga","5937","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique04.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique05.GX",".gx","11201","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique05.tga",".tga","10223","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique05.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique06.GX",".gx","12217","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique06.tga",".tga","9133","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique06.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique07.GX",".gx","13682","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique07.tga",".tga","17827","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique07.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique08.GX",".gx","9038","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique08.tga",".tga","9581","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique08.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique09.GX",".gx","10718","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique09.tga",".tga","21427","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique09.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique10.GX",".gx","4171","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique10.tga",".tga","9927","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique10.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique11.GX",".gx","5584","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique11.tga",".tga","10056","2012-12-17T15:00:00.0000000Z"
"datan\common\AcpUnique11.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt100.GX",".gx","8198","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt100.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt110.GX",".gx","8145","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt110.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt120.GX",".gx","8145","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt120.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt30.GX",".gx","8323","2012-12-17T15:00:00.0000000Z"
"datan\common\acpwt30.xfi",".xfi","22","2012-12-17T15:00:00.0000000Z"
